contract,date,roll_flag,daily_close,daily_return,daily_mean_vpin,daily_max_vpin,daily_vpin_slope,daily_vpin_zscore,daily_vpin_percentile,future_return,signal_raw,position,vpin_high_flag,slope_positive_flag
T,2015-07-14,False,95.575,-0.001514834935227749,0.5616909810333012,0.6291715534844744,0.005107894139183111,0.5871321647201551,0.7333333333333333,-0.0013601883337693854,1.0,1.0,False,True
T,2015-07-15,False,95.445,-0.0013601883337693854,0.5643243934587192,0.6531419332596271,0.016345773713785233,0.6185818508053773,0.7333333333333333,0.0031955576510032113,1.0,1.0,False,True
T,2015-07-16,False,95.75,0.0031955576510032113,0.5130848885812277,0.6114754014056233,0.021904306952803855,-0.29021172713889504,0.38333333333333336,0.0005221932114882755,1.0,1.0,False,True
T,2015-07-17,False,95.8,0.0005221932114882755,0.46150722951738965,0.5093992551280693,-0.02396265304113714,-1.1806563094719555,0.13333333333333333,-0.0005219206680584509,1.0,1.0,False,False
T,2015-07-20,False,95.75,-0.0005219206680584509,0.48873402591800713,0.5914346306939813,-0.024873107417191766,-0.7163449124144249,0.25,-0.0021932114882505793,1.0,1.0,False,False
T,2015-07-21,False,95.54,-0.0021932114882505793,0.5291322184279585,0.5738632636977768,-0.00947352127247419,0.0037092120309735258,0.48333333333333334,0.0009420138162026248,1.0,1.0,False,False
T,2015-07-22,False,95.63,0.0009420138162026248,0.5381178863786998,0.6285709139027659,0.011769098450551319,0.16235209338713807,0.5833333333333334,0.002927951479661184,1.0,1.0,False,True
T,2015-07-23,False,95.91,0.002927951479661184,0.4490223581269063,0.4993101782710155,0.0024414117679725953,-1.3579937765564092,0.11666666666666667,-0.0005213220727765533,1.0,1.0,False,True
T,2015-07-24,False,95.86,-0.0005213220727765533,0.5506192890173418,0.5855133874691343,0.004366066589761708,0.3967374717200567,0.65,0.0018777383684540627,1.0,1.0,False,True
T,2015-07-27,False,96.04,0.0018777383684540627,0.5443014251752698,0.6660863890240669,0.004283981613326449,0.2551701100624566,0.6,-0.00010412328196585108,1.0,1.0,False,True
T,2015-07-28,False,96.03,-0.00010412328196585108,0.5723352887408047,0.6873037194554021,0.016371387177257335,0.7521199606979396,0.8333333333333334,0.000833072998021489,0.0,1.0,True,True
T,2015-07-29,False,96.11,0.000833072998021489,0.4740664451326494,0.522984047783823,0.007180417373494919,-1.063852100671219,0.18333333333333332,-0.0013526167932577104,1.0,0.0,False,True
T,2015-07-30,False,95.98,-0.0013526167932577104,0.5729557850009782,0.6361827094237698,-0.0025561988075347595,0.74066118902618,0.8333333333333334,-0.004532194207126472,1.0,1.0,True,False
T,2015-07-31,False,95.545,-0.004532194207126472,0.5840353910930988,0.6652229642050739,0.008008842809583139,0.9183744627274856,0.85,0.0001046627243708187,0.0,1.0,True,True
T,2015-08-03,False,95.555,0.0001046627243708187,0.4987820814084323,0.5756287486819496,-0.0037137468704295574,-0.633913143243672,0.25,0.0016221024540838958,1.0,0.0,False,False
T,2015-08-04,False,95.71,0.0016221024540838958,0.4824655970618542,0.5577376169508192,-0.00573753997341363,-0.9027367449846607,0.23333333333333334,-0.0010970640476438698,1.0,1.0,False,False
T,2015-08-05,False,95.605,-0.0010970640476438698,0.5057211399891977,0.5612175314223191,-0.023603908405480566,-0.4823501347116992,0.31666666666666665,0.002824120077401737,1.0,1.0,False,False
T,2015-08-06,False,95.875,0.002824120077401737,0.4601628008459809,0.5896222452738645,-0.02408061219134704,-1.287973797280576,0.1,0.0004172099087353942,1.0,1.0,False,False
T,2015-08-07,False,95.915,0.0004172099087353942,0.5753216846447704,0.639541303050328,0.013077641025680292,0.7980885154153714,0.8333333333333334,-0.002502215503310312,0.0,1.0,True,True
T,2015-08-10,False,95.675,-0.002502215503310312,0.4988629716861115,0.5419733672478566,0.01023952939040873,-0.6615802238696654,0.25,-0.005069244839299714,1.0,0.0,False,True
T,2015-08-11,False,95.19,-0.005069244839299714,0.5904585970304851,0.6272770619954828,0.02081750849227055,1.1591920663687258,0.8833333333333333,0.0014707427250761906,0.0,1.0,True,True
T,2015-08-12,False,95.33,0.0014707427250761906,0.5853188726664817,0.6525796113899185,0.026544905602671642,1.0472398770084743,0.8666666666666667,,0.0,0.0,True,True
T,2015-08-13,True,95.52,,0.47417691668461087,0.4913002859044518,-0.01158336349399488,-1.1637932950760903,0.16666666666666666,0.0012562814070351536,1.0,0.0,False,False
T,2015-08-14,False,95.64,0.0012562814070351536,0.3720286598363488,0.45915512335256664,-0.036995030404539955,-3.0012392071031813,0.016666666666666666,-0.003345880384776345,1.0,1.0,False,False
T,2015-08-17,False,95.32,-0.003345880384776345,0.41735252921239707,0.5482106347544896,-0.0559502348466309,-2.0702657383203524,0.05,0.0017310113302559937,1.0,1.0,False,False
T,2015-08-18,False,95.485,0.0017310113302559937,0.38394288865601084,0.5017778394040768,-0.04595763554931556,-2.4933398072921635,0.03333333333333333,-0.0012043776509398363,1.0,1.0,False,False
T,2015-08-19,False,95.37,-0.0012043776509398363,0.5430429985252124,0.5829880990563737,0.014964639250086514,0.24773174890195337,0.5333333333333333,0.0008388382090804836,1.0,1.0,False,True
T,2015-08-20,False,95.45,0.0008388382090804836,0.4859556715240501,0.5309106480501505,0.035354449268821794,-0.7134272975073884,0.23333333333333334,0.0007333682556311949,1.0,1.0,False,True
T,2015-08-21,False,95.52,0.0007333682556311949,0.6079285567780496,0.638288705029241,0.04831648379993443,1.3868506798763252,0.9666666666666667,0.0027742881072025938,0.0,1.0,True,True
T,2015-08-24,False,95.785,0.0027742881072025938,0.5945680209455131,0.6302456708062375,0.048613582283184166,1.1276948266271796,0.9,0.00015660072036327577,0.0,0.0,True,True
